GP4-B1	GP4-C1	GP4-B2	GP4-A2	GP4-A1	GP4-X1	GP4-C2	SHH-C1	SHH-A1	SHH-B1	SHH-B2	SHH-A2	SHH-C2	GP3-B1	GP3-A	GP3-C1	GP3-C2	GP3-B2	WNT	GP4-X2	GP4-X3
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	0	0	0	0	0.237	0	0.454	0	0	0	0	0	0	0	0	0	0.469	0.001	0.043	0.025	0.001
Arginine biosynthesis	0	0.103	0	0.072	0	0.237	0.437	0	0.275	0	0	0	0.274	0	0.023	0.236	0.002	0.313	0	0.068	0.309
Arginine and proline metabolism	0	0	0	0	0	0.51	0	0	0	0.217	0.012	0	0	0	0	0	0	0.395	0	0.377	0.254
Histidine metabolism	0.095	0.003	0.074	0.027	0.11	0.005	0.024	0.003	0.002	0.005	0.019	0.035	0.009	0.567	0.138	0.003	0.54	0.006	0.021	0.008	0.003
Tyrosine metabolism	0	0	0	0	0.323	0	0.331	0	0	0	0	0	0.073	0	0	0	0.008	0.398	0	0.195	0
Phenylalanine metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0.001	0
Tryptophan metabolism	0.001	0	0.001	0.004	0.05	0	0.003	0.505	0.295	0	0.017	0.019	0.067	0.022	0.011	0	0.001	0.361	0	0.179	0.14
Phenylalanine, tyrosine and tryptophan biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
beta-Alanine metabolism	0.133	0	0.056	0	0.596	0.001	0.026	0	0.102	0.059	0.017	0.003	0	0.023	0.19	0	0.076	0.101	0.015	0.01	0.066
Taurine and hypotaurine metabolism	0	0	0.396	0.012	0.023	0.298	0.001	0.156	0.001	0.023	0	0.029	0.045	0	0	0.41	0	0.001	0.008	0.043	0.224
Phosphonate and phosphinate metabolism	0	0	0	0.001	0	0.054	0.049	0	0.019	0.003	0.008	0.001	0.277	0	0	0	0	0.002	0.496	0	0
Selenocompound metabolism	0.261	0	0.501	0	0.435	0	0.044	0	0.002	0.005	0.105	0.025	0	0.029	0	0	0	0.001	0.001	0.312	0.316
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0.038	0	0	0	0	0	0.374	0	0	0	0	0	0.045	0	0	0	0	0.008	0.012	0.41	0
N-Glycan biosynthesis	0	0	0	0	0.003	0	0	0	0.158	0	0	0.01	0	0.003	0.001	0	0	0.266	0	0.39	0.081
Mucin type O-glycan biosynthesis	0.001	0	0	0.001	0	0	0.018	0	0.507	0.003	0	0.01	0.029	0	0	0	0.143	0	0	0.011	0.213
Mannose type O-glycan biosynthesis	0.017	0	0	0	0	0.143	0.071	0	0	0	0	0	0	0	0.216	0	0.213	0	0	0.243	0
Other types of O-glycan biosynthesis	0	0	0	0	0	0.001	0.062	0	0	0	0	0.009	0	0	0	0	0.337	0.005	0	0.019	0.001
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.122	0.197	0	0.28	0.081	0.013	0.389	0	0.158	0	0	0.001	0.017	0	0	0.108	0.274	0.022	0	0.119	0.421
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.007	0	0	0	0.059	0	0.234	0	0.272	0	0	0	0	0	0.004	0.047	0	0.017	0	0	0.029
Glycosaminoglycan biosynthesis - keratan sulfate	0.001	0	0	0.014	0.432	0.15	0.006	0.001	0.001	0.003	0	0.006	0.036	0	0	0	0	0.087	0.001	0.325	0.047
Glycosaminoglycan degradation	0	0	0.017	0.008	0	0	0.001	0	0	0.205	0	0.032	0.063	0	0	0	0	0.045	0	0.416	0.01
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.017	0	0	0.007	0.226	0.004	0	0	0	0.047	0	0.001	0	0.125	0.006	0.196	0	0	0.42	0.492	0.076
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0.218	0	0.002	0.256	0	0.145	0.395	0.001	0	0.213	0.448	0.092	0.001	0.305	0.037	0.003	0.119	0.407
Glycosphingolipid biosynthesis - globo and isoglobo series	0	0	0.408	0.143	0.005	0.071	0.098	0.106	0	0.003	0	0.324	0.054	0	0.006	0.057	0.109	0.018	0.025	0.022	0.093
Glycosphingolipid biosynthesis - ganglio series	0	0	0	0.135	0.005	0	0.009	0.006	0	0	0	0.264	0.006	0	0	0	0	0	0	0.043	0
Other glycan degradation	0.064	0	0	0	0	0.1	0	0	0	0.003	0	0.006	0	0	0	0	0.033	0	0.001	0.109	0.003
Thiamine metabolism	0	0	0	0	0.43	0.012	0	0	0.407	0.158	0.027	0	0	0	0.002	0	0	0.179	0	0	0.239
Riboflavin metabolism	0	0	0	0	0.408	0.04	0	0	0.067	0.153	0.097	0	0.002	0	0	0.005	0	0.474	0.381	0.019	0.007
Vitamin B6 metabolism	0.316	0	0.298	0.385	0.386	0.233	0.031	0	0	0	0	0.004	0	0	0	0	0	0.341	0.001	0.474	0.094
Nicotinate and nicotinamide metabolism	0.001	0	0.004	0.368	0.126	0.121	0.01	0.038	0	0	0	0.049	0	0.019	0.376	0.005	0	0.294	0.01	0.43	0.049
Pantothenate and CoA biosynthesis	0	0	0.001	0	0.478	0.023	0.003	0.017	0	0.047	0	0.1	0.324	0.439	0.173	0.195	0	0.284	0.353	0.101	0.034
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0	0	0	0	0	0	0.017	0	0	0	0	0.102	0.338	0	0	0	0	0.038	0	0.267	0.043
One carbon pool by folate	0	0	0	0	0	0	0.391	0	0	0.01	0	0	0	0.002	0	0	0	0.027	0.15	0.052	0.261
Retinol metabolism	0	0	0	0.35	0.004	0.073	0.13	0.034	0	0.245	0	0.486	0.022	0	0.153	0	0	0.023	0	0.034	0.246
Porphyrin and chlorophyll metabolism	0	0	0.002	0	0.027	0	0	0	0	0.001	0.23	0	0.001	0	0	0.001	0	0.113	0	0.057	0.174
Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0.027	0	0.009	0.041	0.418	0	0.292	0.113	0.085	0	0.013	0	0.017	0.001	0.053	0.017	0	0.106	0.025
Terpenoid backbone biosynthesis	0	0	0.196	0	0.005	0	0.107	0	0.224	0.382	0.272	0.03	0.069	0	0	0	0	0.275	0.134	0.346	0
Caffeine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	0	0	0	0	0	0	0.474	0	0.048	0	0	0	0.002	0	0.319	0	0	0.013	0	0.025	0.1
Drug metabolism - cytochrome P450	0	0	0	0	0.205	0	0.084	0	0.109	0	0	0	0.127	0	0.185	0	0.241	0.131	0	0.014	0.213
Drug metabolism - other enzymes	0	0	0.02	0	0.006	0	0.002	0	0	0	0	0.192	0.001	0	0	0	0	0.117	0	0.002	0
