x	y	NES	PVAL
804	GP3-C1	Drug Metabolism - Cytochrome P450	1.2306975	1.26760624017703
805	GP3-C1	Pyrimidine Metabolism	1.1964071	1.82390874094432
806	GP3-C1	Glutathione Metabolism	1.181639	1.16115090926274
807	GP3-C1	Purine Metabolism	1.1788049	2.15490195998574
808	GP3-C1	Drug Metabolism - Other Enzymes	1.1677041	1.1249387366083
809	GP3-C1	Glyoxylate And Dicarboxylate Metabolism	1.1649537	0.766134419161647
858	GP3-C2	Oxidative Phosphorylation	1.5339888	10
860	GP3-C2	Pyruvate Metabolism	1.2184014	1.20760831050175
862	GP3-C2	Pyrimidine Metabolism	1.1984562	1.95860731484178
863	GP3-C2	Purine Metabolism	1.194965	3
864	GP3-C2	Drug Metabolism - Cytochrome P450	1.194787	1.01322826573376
865	GP3-C2	Glutathione Metabolism	1.1886032	1.08618614761628
867	GP3-C2	Drug Metabolism - Other Enzymes	1.161497	1
875	GP3-C2	Glyoxylate And Dicarboxylate Metabolism	1.0134557	0.286509456906058
921	GP3-B2	Oxidative Phosphorylation	1.8281506	10
922	GP3-B2	Drug Metabolism - Other Enzymes	1.293221	1.53760200210104
923	GP3-B2	Glutathione Metabolism	1.2750608	1.3767507096021
924	GP3-B2	Pyrimidine Metabolism	1.2662187	2.04575749056068
925	GP3-B2	Purine Metabolism	1.261789	2.30102999566398
926	GP3-B2	Drug Metabolism - Cytochrome P450	1.2256049	0.827561361242577
927	GP3-B2	Pyruvate Metabolism	1.2189776	1.02227639471115
931	GP3-B2	Glyoxylate And Dicarboxylate Metabolism	1.1265374	0.551101303979376
970	WNT	Oxidative Phosphorylation	1.7466917	10
971	WNT	Drug Metabolism - Other Enzymes	1.2813574	1.74472749489669
973	WNT	Drug Metabolism - Cytochrome P450	1.2242931	0.995678626217357
974	WNT	Glyoxylate And Dicarboxylate Metabolism	1.2155752	0.927683492384495
975	WNT	Pyrimidine Metabolism	1.2105019	1.63827216398241
976	WNT	Purine Metabolism	1.1789509	1.60205999132796
978	WNT	Pyruvate Metabolism	1.1502166	0.732828271596986
983	WNT	Glutathione Metabolism	1.0565182	0.437707135543525
