GP4-B1	GP4-C1	GP4-B2	GP4-A2	GP4-A1	GP4-X1	GP4-C2	SHH-C1	SHH-A1	SHH-B1	SHH-B2	SHH-A2	SHH-C2	GP3-B1	GP3-A	GP3-C1	GP3-C2	GP3-B2	WNT	GP4-X2	GP4-X3
Butanoate metabolism	0.977416165684733	1.0336763725681	0.958654399475991	1.1182441003862	NA	0.952699668865623	0.955724822609406	NA	1.05010806490022	NA	NA	1.21648074030728	NA	0.964357610663293	NA	0.970020090702279	0.977435158515167	NA	NA	0.920505386795419	NA
Inositol phosphate metabolism	1.01483104135095	1.05461180333847	0.969811373692331	1.0558513324735	NA	NA	1.06775995445048	1.03636687169046	0.908840916611434	0.937506219357759	0.88228643186418	1.04832273049939	0.951400932476406	0.918091970929937	NA	1.04577513733276	1.06942036922182	0.917012063364784	NA	NA	1.17133279498008
Oxidative phosphorylation	1.13750154314589	0.638257456546321	1.31457337154051	0.605938618668154	1.07882527497968	0.874267933044675	1.11133106174626	0.625585472596528	NA	1.08218189013105	1.3978921781517	0.634135052969022	NA	1.40806485965927	1.11654272394132	0.811558211469286	1.15008784513775	1.10734948450141	1.18520582021246	1.15887012396005	0.553000958582164
Nitrogen metabolism	NA	NA	0.955170458111666	NA	0.918246588526394	NA	NA	NA	0.920020594885874	1.05897298763843	0.907692186467019	NA	NA	0.955507755968441	NA	1.03810906962288	NA	NA	1.10478860579521	NA	NA
Sulfur metabolism	NA	0.894369234923406	0.95124634822978	0.854086822237776	0.934926367434878	0.91567259034493	0.948306160106504	NA	NA	1.1497655996438	1.13762346321972	NA	NA	1.08657175761031	NA	0.971389482345422	1.05144735196463	NA	1.30687337335208	0.886280387304877	0.811572136890923
Fatty acid biosynthesis	NA	0.953337428621622	0.891353320611005	NA	NA	0.919788783422832	1.11691210400984	0.934145228334822	0.930039279650558	0.88225224732424	0.887083990900228	NA	NA	0.936638603858618	NA	1.06953913580824	1.30278591800801	0.896615033136738	1.2468070973674	NA	NA
Fatty acid elongation	1.02392317310764	0.924640259409454	NA	0.920469249892265	NA	0.890109381657768	1.04406299755519	0.897915646701816	NA	1.04325529007226	0.968280074371972	NA	0.939154267757104	1.06242742586632	NA	0.966016214835726	1.11555882943571	NA	1.18186143321036	NA	NA
Fatty acid degradation	1.03273579189758	0.926110119998651	1.02300870322042	0.950654608709864	1.05536020432659	0.928699342724128	1.10501478730321	0.922376797547892	NA	1.02418533904181	NA	0.951492148431685	0.945632900059557	0.963515714656921	NA	0.953755585205418	1.16088211781461	0.906299780075181	1.17046886458229	NA	NA
Synthesis and degradation of ketone bodies	0.972041777744192	0.876829552917985	0.965749418130166	0.921754279872221	NA	0.886814505452434	0.954098756624746	1.03312822016021	1.17218063137539	1.09629978332797	NA	1.22531783901955	NA	NA	NA	0.932264907120105	NA	NA	1.12260120112199	0.9208990169531	0.815894045780502
Steroid biosynthesis	1.02138303585117	0.875270448506333	0.94425384644705	0.856098648511668	NA	0.892096718877074	NA	NA	1.14694659600432	1.13446975272788	1.13758827533255	1.08740521342849	1.16958915530933	1.02973531838594	1.04314438447179	0.960784412201625	NA	NA	NA	NA	0.785462543746807
Primary bile acid biosynthesis	1.04219122779373	0.901921954780475	1.03826373648032	0.928502712790812	NA	0.882408879244521	1.27720258733	0.881467712300886	0.947486454600817	NA	NA	0.884659763417446	0.922214437418315	1.07610581566602	NA	0.975098051771313	1.08318792440389	NA	NA	1.10654786252104	NA
Steroid hormone biosynthesis	NA	0.92441638389521	NA	0.908523781867875	0.964018386471889	0.925859346632078	NA	NA	NA	1.18911310378327	1.06024941627871	NA	NA	NA	0.954701858757684	0.939276951311333	1.03656771660082	NA	1.17192238661237	NA	NA
Glycerolipid metabolism	0.951479320013995	0.972548632754138	0.887346623335334	NA	0.927049968121797	0.893642577557349	1.05798872391478	1.10817231462058	NA	1.0520727791269	0.954451507613781	1.13976646341214	NA	0.945133160898035	NA	1.03237460057837	1.07602935178352	0.891701241680683	1.05211066604756	NA	NA
Glycerophospholipid metabolism	NA	1.0226277019237	0.934863919720618	NA	0.967482136087174	0.943587680162501	1.02779112254773	1.05638738490109	0.925631590630933	0.956520168241671	0.906271601520333	1.08546444121201	0.971836865194884	0.97275908777419	NA	1.05045526953868	1.05126261557729	0.928512780236779	1.0596045919104	NA	1.13490135706689
Ether lipid metabolism	1.05446915427176	NA	1.02165024874012	NA	1.03351276808696	NA	1.04377862350821	NA	0.921958335550304	0.957019565173367	0.966144112786328	NA	NA	0.97433312832289	NA	1.02200404704787	1.04981720417428	0.886250209868095	NA	NA	NA
Sphingolipid metabolism	1.08197949370911	1.07673971522837	0.975475113129276	1.04162537425913	1.02144976397252	NA	1.0768656272367	NA	0.907996905196616	0.9403678596515	0.89343811471761	NA	0.962657451406525	0.951319835929685	0.983153888478986	1.04693883971596	1.06639370761112	0.947732299186993	1.08519067501058	0.958801021155534	NA
Arachidonic acid metabolism	0.950823382868514	0.897937773575738	0.941568761278397	0.837619660003578	0.860036279289003	0.888088996673787	NA	0.968427868393772	NA	1.51421828644095	1.25288358452945	NA	NA	1.04531598705414	0.88542496177629	0.907228858533142	NA	NA	1.26730905765091	0.877678671373843	NA
Linoleic acid metabolism	NA	NA	0.940732796344645	NA	0.94390579948064	NA	1.32644706132826	NA	0.863815559266988	0.954113250841389	0.880767130450328	0.905798231783098	0.920788915606348	0.960022277458575	0.907697663674761	1.05397514790528	1.24108193125997	NA	NA	NA	NA
alpha-Linolenic acid metabolism	1.0816120372061	1.03145731953199	NA	NA	NA	NA	1.08744619878844	1.0344358086344	0.923815935156564	0.923820137120387	0.895187767256928	NA	NA	0.933916321006976	NA	1.05066917387479	1.07164591853097	0.86954021312202	0.940765827910212	NA	NA
Biosynthesis of unsaturated fatty acids	NA	0.879836582381474	0.925327121771528	NA	NA	0.854457362908369	0.966330797810745	NA	NA	NA	NA	1.13279403456228	NA	1.0843696076215	1.15734160657656	NA	1.04237652559513	0.887607384263855	NA	0.932400813342018	0.882609846909314
Purine metabolism	NA	0.937732283814677	1.01892780797364	NA	1.02649816076827	0.93460722981042	0.968169864532735	0.928347017319328	1.03957954590152	1.04550971693908	1.04425733330665	1.07976143658213	0.954854503451667	1.06239446355119	1.05384093483806	0.945592695096838	NA	NA	1.06615132840987	NA	0.897517575213775
Pyrimidine metabolism	0.98181313150069	0.873208874069859	1.01777968941937	NA	1.09254756072918	0.91188933189983	NA	0.900515108776394	1.09894718796849	1.05060213907528	1.03964438527198	1.11868792052276	0.925141140488638	1.0748215043619	1.12730233302505	0.93018637289083	NA	NA	NA	NA	0.88319237157034
Alanine, aspartate and glutamate metabolism	NA	1.02223256428726	0.952761824109389	1.05975692073356	NA	0.934204959226819	0.967528392703168	1.05339835366768	NA	1.03122591477374	0.962907341486911	1.14616964782968	NA	0.970413487190823	NA	0.976829741395255	0.962626455316966	NA	0.966150067475773	NA	NA
Glycine, serine and threonine metabolism	1.10809825368526	0.946275965878888	1.16426732535222	0.941208473425493	1.08682958013815	NA	1.06938242541369	0.83392805805541	NA	0.970916916676578	NA	0.904991705528207	0.915418294195792	1.05742545656658	NA	0.926616663803845	1.06707323799878	NA	1.11059649550924	NA	NA
Cysteine and methionine metabolism	0.963614898999695	0.906075872165971	0.952848004433689	0.967106692354999	NA	0.892998082595011	NA	0.935602004652293	1.10079045535646	1.09924069655809	NA	1.15883571597529	0.934729551664374	1.03014779499578	1.06121739177226	0.955562442380291	1.03099421756007	NA	1.07745140016316	NA	NA
Valine, leucine and isoleucine degradation	0.97722378787938	0.987057241994929	0.961961456305366	NA	0.957760809780834	0.919905131678173	1.06699711919366	1.04615256793549	0.967750382628994	1.05331546440725	0.957243376890912	1.05917158054217	0.944726376467056	0.96755950873393	0.962763950295486	NA	1.03171170396931	NA	1.06678919988624	NA	1.12242446160389
Lysine degradation	0.943823100703279	1.08638094024222	0.865377635666807	1.20464190647669	NA	0.923611795935872	NA	1.07658134650017	0.933343626192303	0.926766185427064	0.839854046886612	1.244451411216	0.913562789970537	0.896917803632493	1.03946507069879	1.0484411947487	NA	0.941312205780555	NA	NA	1.17733136475662
Arginine biosynthesis	0.95830848481706	NA	0.917483631184706	NA	0.934793859809442	NA	NA	1.11166855684619	NA	1.06144006383743	0.942275180202708	1.17612242278089	NA	0.928498588772362	NA	NA	0.972460844180993	NA	1.0581009562571	NA	NA
Arginine and proline metabolism	1.06868269781669	0.916406096941756	1.10126549772285	0.900606482911718	1.03988929762324	NA	1.05247103648748	0.853241181367498	0.943862739900368	NA	NA	0.870183380136979	0.938288787382488	1.08817262787546	1.05377234700636	0.938147388835803	1.04447234726208	NA	1.18312804644497	NA	NA
Histidine metabolism	NA	0.887346726105302	NA	NA	NA	0.899496917143923	NA	0.900110519167808	0.895766847736011	0.926737274229616	NA	NA	0.928723661855687	NA	NA	0.925768042021831	NA	0.885334811377467	NA	1.1372423267719	1.28802302511377
Tyrosine metabolism	1.0654956597902	0.829710000489388	1.12558985013325	0.809548386521636	NA	0.901666758663923	NA	0.847194164322467	1.07431968274591	1.18378307181105	1.20739801432986	0.898699010764436	NA	1.08872916930781	0.94881359787715	0.878776762102082	1.03001500971942	NA	1.37449718952186	NA	0.724678503693246
Phenylalanine metabolism	1.11575939998635	0.586309462562937	1.35729208024444	0.585103663118264	1.08917884106254	0.85427744576922	0.874943016786996	0.627604723717601	1.38622696021322	1.2997592990909	1.74879930543371	0.739397600110788	1.12301983049042	1.16470896338183	NA	0.694037790557821	0.857195658439608	1.28867856339324	1.33804102233551	0.793920692120276	0.493443970579865
Tryptophan metabolism	0.955120738230315	0.922924272764421	0.952182225218445	0.959448233980907	NA	0.909053427281833	0.959573591291598	NA	NA	1.11599432397166	NA	NA	NA	NA	NA	0.929587844979954	0.956850330207782	NA	1.24967234570432	NA	NA
beta-Alanine metabolism	NA	0.896479911687735	NA	0.870720020252482	NA	0.933255753577643	NA	0.920875123855107	NA	NA	NA	0.941042622484591	0.941883429886382	NA	NA	0.91161045169277	NA	NA	NA	1.07031715505066	NA
Taurine and hypotaurine metabolism	1.08058459556412	1.1345453416265	NA	NA	NA	NA	1.12623879868724	NA	0.930766175038627	NA	0.891866488675532	NA	NA	0.907614051530072	0.897384102809488	NA	1.13167729270937	0.85498601463337	1.10054893176152	NA	NA
Phosphonate and phosphinate metabolism	0.894649836744416	1.12502967626778	0.836436809581185	1.08727578654817	0.880177056789842	NA	NA	1.30120244247383	NA	1.05115465099998	0.936690649289972	1.1749337704129	NA	0.852338749778329	0.899652586040696	1.04006947974626	0.90810901712962	0.863861924295293	NA	0.822724969408547	1.49188163415329
Selenocompound metabolism	NA	0.919615342660492	NA	0.950562197663787	NA	0.906126435179061	NA	0.959918055990309	1.0430078404385	1.02411024162149	NA	NA	0.957687431302366	NA	1.06903123701114	1.04017536646504	1.09214109547547	0.932971023082072	1.0383753923912	NA	NA
Glutathione metabolism	NA	0.780214592878671	1.09006574310807	0.773970332519056	1.08995446930942	0.890765414025029	NA	0.810455704723504	1.14956614879086	1.1498375289692	1.1847457040051	0.906255449063655	NA	1.2147025414109	1.16428372103119	0.889854899956256	1.05562797496447	1.06783610586059	NA	NA	0.763305952045536
N-Glycan biosynthesis	1.04133092946654	0.969241554705713	0.959190327439396	0.976986243894678	1.0170811714291	0.927843134641108	1.07603324042998	0.958171823916353	NA	1.04500822390747	0.959690327165045	1.03813600388396	0.955456481088502	1.01289455128756	1.02141201902541	0.981277833417571	1.02735805455589	NA	1.0853136639057	NA	NA
Mucin type O-glycan biosynthesis	0.969560139156453	0.952468125567996	0.90838278273063	0.963289012576713	0.96546546198726	0.914098438805725	NA	1.08341014335124	NA	1.04358275955603	0.928884285134263	1.1302223692071	NA	0.898838431344006	0.957380870524123	0.957777694013867	NA	0.931810738736921	1.24234753041689	NA	NA
Mannose type O-glycan biosynthesis	NA	1.14805615498632	0.908690987341023	1.09440870663628	0.922354988155768	NA	NA	1.06818461788067	0.911355958379369	0.95521828809184	0.859292484854321	1.10777614494778	0.917232911407674	0.962013764525181	NA	1.1709745411905	NA	0.875886050015184	0.911564092651231	NA	1.21421728177181
Other types of O-glycan biosynthesis	0.960853651059836	1.11325871420437	0.895099683692409	1.05955719861924	0.903491090145697	0.944130314246875	NA	1.0982853661508	0.888090944599846	0.95457979314502	0.872643477569869	1.06555259865354	0.922527315835519	0.893436809939198	0.948624562420804	1.07555655752361	NA	0.928562408282259	1.14686285727357	NA	1.24221636182549
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	0.916938083724675	NA	NA	NA	NA	1.08054030209196	NA	1.0672532512594	0.9247885522464	1.09619508509518	NA	0.947772378988489	0.962755448915932	NA	NA	NA	1.07163237491488	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1.0172229149841	0.968083209579226	0.938319771949185	0.954920810957947	NA	0.925437466986134	NA	1.07861017790578	NA	1.0949257247612	0.946918652499956	1.12135867941617	1.06009659034976	0.928797485315852	0.975058700210562	NA	1.0532444616167	NA	1.15408037129098	0.920281429618379	NA
Glycosaminoglycan biosynthesis - keratan sulfate	1.03262489582332	1.04010608416593	0.959525881711675	NA	NA	NA	1.04450526767915	1.03527327857109	0.955139887048932	1.03302389029455	0.926402499644912	1.0749555510506	NA	0.953340957936692	0.947376462597523	0.92997563583139	0.950600027188867	NA	1.06281635330182	NA	NA
Glycosaminoglycan degradation	1.05836543185594	1.03912276881108	NA	0.971324250313869	0.948562972338865	0.943166484328013	1.03616917662627	1.04382719047083	0.924334395532124	NA	0.923862534784492	NA	NA	0.953676466512341	0.940396465205336	1.03862854743667	1.02265334960835	NA	1.07617625349155	NA	1.10546898700225
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	NA	1.02256455527637	0.945391198388342	1.02583324230253	NA	0.965382803733048	1.07211823298977	1.04830150782674	0.950907085920305	NA	0.911470753158585	1.06647732092147	0.961544719436273	NA	0.980852208866484	NA	1.07278255257828	0.908624622302482	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	1.06669987308123	0.971314822396842	1.03820155158641	NA	1.05899085114581	0.943089886449881	NA	0.955828277007589	NA	NA	0.943227967968083	1.11775973044821	NA	NA	NA	0.976433308612147	NA	NA	0.963679804189709	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	1.10513701858419	1.06992854986222	NA	NA	1.04237610667509	NA	NA	NA	0.933471079963874	0.967315092932838	0.904322823061168	NA	NA	0.952086948436304	0.963412033112225	NA	NA	NA	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	1.02830716064812	1.02951630748296	0.944017992324387	NA	0.968262423554515	0.934519863892316	1.03229283211683	1.03009065151715	0.9232794058645	0.95571039480236	0.933824789020336	NA	1.04610181115898	0.923783464038425	0.881897272602311	0.969292595896977	1.12636932853739	0.90103469779712	1.07152623110536	NA	1.21830286741731
Other glycan degradation	NA	1.08899429321112	0.917847441714571	1.08923894692784	0.935490545409025	NA	1.04203588516749	1.06373200361953	0.899662397262287	0.978010140899923	0.904542037219472	1.05321470453481	0.935676642671598	0.940569514252594	0.956293670411074	1.10383371821448	NA	0.917843379575732	1.04241601333201	NA	1.1756555813912
Thiamine metabolism	1.0399207514554	0.86315446556798	1.10081737287469	0.857279446034057	NA	NA	1.08831533473032	0.876939208834464	NA	NA	NA	0.924155928006769	0.947306414621548	1.14825587947561	1.03352853208124	0.912170903985157	1.05055553341137	NA	1.08234897128639	1.14909945559463	NA
Riboflavin metabolism	1.05228365247627	0.843775374797869	1.10194581845009	0.81015617499818	NA	NA	1.12372898149779	0.861211115449535	NA	NA	NA	0.843610436203626	0.935506780544176	1.19219503803636	1.12197111362852	0.974439269270155	1.21787471025976	NA	NA	NA	0.864022381343623
Vitamin B6 metabolism	NA	0.961622828914149	NA	NA	NA	NA	NA	0.915851522541329	0.911573640936319	0.93666829628234	0.922786741821885	0.922710531306424	0.909132287881118	1.11741643985884	1.17854139283205	1.07939175077004	1.15572928073679	NA	1.05822138844871	NA	NA
Nicotinate and nicotinamide metabolism	1.02962102865453	1.06398384511098	0.976970341151479	NA	NA	NA	1.03444510369244	NA	0.942679219448185	0.962635086813967	0.914808544955972	NA	0.928838445654656	NA	NA	1.01750196414626	1.04526612909715	NA	0.967227748398419	NA	NA
Pantothenate and CoA biosynthesis	1.04674927530703	0.947890749090564	1.03398184313357	0.946364637699912	NA	NA	1.04831082898057	NA	0.910422271033865	NA	0.904454862888431	NA	NA	NA	NA	NA	1.08401694751512	NA	NA	NA	NA
Folate biosynthesis	1.02510085298455	0.907140865058851	1.04612533752715	0.940662971381996	1.10473294666713	0.931751108952578	NA	0.88394687791877	1.10417656588864	1.07213874666616	1.05174644445401	NA	NA	1.05548174720575	1.10145132819686	0.887272144198779	0.973913233895194	NA	1.08567221384979	NA	NA
One carbon pool by folate	0.914306150394406	0.889113856667122	0.925929419406632	1.05307315968689	1.10513663657085	0.874810721008325	NA	0.966953589612635	1.14721868972649	1.02517705240776	0.941728148758591	1.25259480580055	0.904157751390352	0.97867029441755	1.14344693674963	0.953702483716732	0.953189996260103	NA	NA	NA	NA
Retinol metabolism	1.04919739191742	1.0291968036754	0.94023931351017	NA	0.95987198124629	NA	NA	NA	0.936534502994829	NA	0.894672506582752	NA	NA	0.965773019036658	NA	1.07603528583187	1.06456924565064	NA	1.09755184637666	NA	NA
Porphyrin and chlorophyll metabolism	1.02637356657994	0.908893205858713	1.01925835877091	0.922474195125839	NA	0.948221995189921	1.08118240640481	0.902023448083969	0.946856031236622	1.02150574645035	NA	0.934745036847947	0.964023666034514	1.11991362238249	1.04722962305036	0.984380565562095	1.10737475230868	NA	1.04779907982202	NA	NA
Ubiquinone and other terpenoid-quinone biosynthesis	1.05845206523162	0.93012653046082	NA	0.924092876523576	1.08763071310003	NA	NA	0.857487674003129	NA	NA	NA	0.902318823530129	NA	1.10467744811416	NA	0.950243217893513	NA	NA	1.1497243016215	NA	NA
Terpenoid backbone biosynthesis	1.02246803720575	0.904781952532882	NA	0.925904621989413	1.02582758455272	0.914173715907691	NA	0.955020215639558	NA	NA	NA	NA	NA	1.05889009438419	1.11379863112599	1.04105027020031	1.08554674880528	NA	NA	NA	0.880670236608354
Metabolism of xenobiotics by cytochrome P450	1.0858691383164	0.891380846453077	1.10471074440971	0.85822230240992	1.05979940273632	0.928021348702374	NA	0.879228791174898	NA	1.06340719841103	1.12102756629193	0.859159597878973	1.03973211778541	1.0476013385925	NA	0.90929843640096	1.02241040377184	NA	1.20682926209941	NA	NA
Drug metabolism - cytochrome P450	1.03238510028508	0.940957473650031	1.04346527212661	0.877483353575137	NA	0.897866379793053	NA	0.929057744747466	NA	1.11533594002404	1.15905522886583	0.905077679015361	NA	1.07667680787218	NA	0.944780899949982	NA	NA	1.06222308504443	NA	NA
Drug metabolism - other enzymes	0.979848702593779	0.839561404787545	NA	0.865880025313572	1.02111531861471	0.862688696668001	1.03142166605506	0.925385767103291	1.08843156319897	1.10238888461037	1.12101758466152	NA	0.969553551288046	1.12664192912691	1.08076330028323	0.92298493847977	1.05335899619138	NA	1.0333545336294	1.0534924836803	0.867524878722323
